LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C22355736,XL-1005UBC,XINGLIGHT,Blue 465nm LED Indication - Discrete 3.3V 0402,Optoelectronics/LED Indication - Discrete,XL-1005UBC,ExternalDriver_0402,XL-1005UBC,0402,https://datasheet.lcsc.com/datasheet/pdf/7c777665dc6740ac42e09f3da6cdf7af.pdf?productCode=C22355736,,Active,LCSC,0402,https://www.lcsc.com/product-detail/C22355736.html,Package: 0402; Installation method: Top-mount; Color Temperature: -; Peak Wavelength: 465nm; Lens Color: Water Clear; Viewing Angle: 120°; Luminous Intensity: 240mcd; Illumination Color: Blue; Forward Current: 20mA; Lamp Holder Type: 1mm x 0.5mm square LED; Operating Temperature: -40℃~+85℃; Voltage - Forward(Vf): 3.3V; Diode Configuration: Discrete Diode; Wavelength: 455nm~475nm,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: LED4,METADATA_READY,legacy_import
C25503856,XL-1005UYC,XINGLIGHT,Yellow 590nm LED Indication - Discrete 2.4V 0402,Optoelectronics/LED Indication - Discrete,XL-1005UYC,ExternalDriver_LED,91,0402,https://datasheet.lcsc.com/datasheet/pdf/cca508f795cf6b2e43a998379b7431c6.pdf?productCode=C25503856,,Active,LCSC,LED,https://www.lcsc.com/product-detail/C25503856.html,Package: 0402; Installation method: -; Color Temperature: -; Peak Wavelength: 590nm; Lens Color: Water Clear; Viewing Angle: 120°; Luminous Intensity: 210mcd; Forward Current: 20mA; Illumination Color: Yellow; Lamp Holder Type: 1mm x 0.5mm square LED; Voltage - Forward(Vf): 2.4V; Operating Temperature: -40℃~+85℃; Diode Configuration: Discrete Diode; Wavelength: 585nm~595nm,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: LED2,METADATA_READY,legacy_import
C965793,XL-1005UGC,XINGLIGHT,Emerald Green 531nm LED Indication - Discrete 3V 0402,Optoelectronics/LED Indication - Discrete,XL-1005UGC,ExternalDriver_XL-1005UGC,XL-1005UGC,0402,https://datasheet.lcsc.com/datasheet/pdf/96b6fda6ff8a59c056f9124a5f0121bc.pdf?productCode=C965793,,Active,LCSC,XL-1005UGC,https://www.lcsc.com/product-detail/C965793.html,Package: 0402; Installation method: Top-mount; Color Temperature: -; Peak Wavelength: 531nm; Lens Color: Water Clear; Luminous Intensity: 249mcd; Viewing Angle: 120°; Forward Current: 25mA; Illumination Color: Emerald Green; Lamp Holder Type: 1mm x 0.5mm square LED; Voltage - Forward(Vf): 3V; Operating Temperature: -40℃~+85℃; Diode Configuration: Discrete Diode; Wavelength: 516nm~531nm,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: LED1,LED3",METADATA_READY,legacy_import
