LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C110696,PESDNC2XD5VB,Shanghai Prisemi Elec,9.5VC Clamp 5A Ipp ESD DIODE DFN0603-2L,Transistors/Thyristors/TVS Diodes,PESDNC2XD5VB,ExternalDriver_ESD,9990000056296,DFN0603-2L,https://datasheet.lcsc.com/datasheet/pdf/564b35af898142568b511bab046231ec.pdf?productCode=C110696,,Active,LCSC,贴片ESD管,https://www.lcsc.com/product-detail/C110696.html,Package: DFN0603-2L; Clamping Voltage: 9.5V; Peak Pulse Current (Ipp): 5A; Peak Pulse Power Dissipation (Ppp): 40W@8/20us; Number of Channels: 1; Voltage - Breakdown: 5.6V; type: ESD; Reverse Leakage Current (Ir): 1uA; Polarity: Bidirectional; Reverse Stand-Off Voltage (Vrwm): 5V,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19",METADATA_READY,legacy_import
C15771,"PESD1CAN,215",Nexperia,70VC Clamp 3A@8/20us Ipp ESD DIODE SOT-23,Transistors/Thyristors/TVS Diodes,PESD1CAN_215,ExternalDriver_ESD,9980000554037,SOT-23,https://datasheet.lcsc.com/datasheet/pdf/f7e17f2784b44a479860aa1ec967b207.pdf?productCode=C15771,,Active,LCSC,贴片ESD管,https://www.lcsc.com/product-detail/C15771.html,Package: SOT-23; Clamping Voltage: 70V; Operating Temperature: -65℃~+150℃; Peak Pulse Current (Ipp): 3A@8/20us; Peak Pulse Power Dissipation (Ppp): 200W@8/20us; Number of Channels: 2; Voltage - Breakdown: 27.8V; type: ESD; Reverse Leakage Current (Ir): 1nA; Polarity: Bidirectional; Reverse Stand-Off Voltage (Vrwm): 24V,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: D6,D7",METADATA_READY,X200T_ECU_B1_V1.0_20240809; legacy_import
C17701055,AGM12N10AP,AGMSEMI,N-Channel 100V 55A 83W Surface Mount PDFN3.3x3.3,"Transistors/Thyristors/Single FETs, MOSFETs",AGM12N10AP,ExternalDriver_NMOS,9980000531173,PDFN3.3x3.3-8,https://datasheet.lcsc.com/datasheet/pdf/21584e9e0b8dd5776e6179ebabad0736.pdf?productCode=C17701055,,Active,LCSC,NMOS管,https://www.lcsc.com/product-detail/C17701055.html,Package: PDFN3.3x3.3-8; Operating Temperature: -55℃~+150℃; Drain to Source Voltage: 100V; Output Capacitance(Coss): 460pF; Current - Continuous Drain(Id): 55A; Gate Threshold Voltage (Vgs(th)): 1.8V; Pd - Power Dissipation: 83W; Reverse Transfer Capacitance (Crss@Vds): 9pF; RDS(on): 9.3mΩ@10V; Number: 1 N-channel; Input Capacitance(Ciss): 1.08nF; Gate Charge(Qg): 22nC@10V; Type: N-Channel,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: MOS1,METADATA_READY,legacy_import
C19077592,SMBJ58CA,R+O,93.6VC Clamp 6.41A@10/1000us Ipp TVS DIODE DO-214AA(SMB),Transistors/Thyristors/TVS Diodes,SMBJ58CA,ExternalDriver_TVS,9990000053188,DO-214AA(SMB),https://datasheet.lcsc.com/datasheet/pdf/29e006ceaae5808e6d17d021de7bda89.pdf?productCode=C19077592,,Active,LCSC,贴片TVS管,https://www.lcsc.com/product-detail/C19077592.html,Package: DO-214AA(SMB); Clamping Voltage: 93.6V; Operating Temperature: -55℃~+150℃; Peak Pulse Current (Ipp): 6.41A@10/1000us; Peak Pulse Power Dissipation (Ppp): 600W@10/1000us; Number of Channels: 1; Voltage - Breakdown: 71.2V; type: TVS; Reverse Leakage Current (Ir): 5uA; Polarity: Bidirectional; Reverse Stand-Off Voltage (Vrwm): 58V,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: D4,METADATA_READY,legacy_import
C52148452,SMF58CA,YTL,95V 2.1A@10/1000us 200W@10/1000us 70.8V Bidirectional 58V SOD-123 TVS Diodes,Transistors/Thyristors/TVS Diodes,SMF58CA,ExternalDriver_TVS,9990000052691,SOD-123,https://datasheet.lcsc.com/datasheet/pdf/90fba666de3fbaa9b789dc2bc0adbecf.pdf?productCode=C52148452,,Active,LCSC,贴片TVS管,https://www.lcsc.com/product-detail/C52148452.html,Package: SOD-123; Clamping Voltage: 95V; Operating Temperature: -55℃~+150℃; Peak Pulse Current (Ipp): 2.1A@10/1000us; Peak Pulse Power Dissipation (Ppp): 200W@10/1000us; Number of Channels: 1; Voltage - Breakdown: 70.8V; type: ESD; Reverse Leakage Current (Ir): 100nA; Polarity: Bidirectional; Reverse Stand-Off Voltage (Vrwm): 58V,Sources: BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y185.xls: D2,METADATA_READY,legacy_import
C534364,BSC070N10NS5,Infineon,N-Channel 100V 80A 83W Surface Mount TDSON-8(5x6),"Transistors/Thyristors/Single FETs, MOSFETs",BSC070N10NS5,ExternalDriver_PG-TDSON-8_L5_9-W5_1-P1_27-LS6_2-BL,,TDSON-8(5x6),https://datasheet.lcsc.com/datasheet/pdf/85672115bc80b2ab20a76143a9527c0c.pdf?productCode=C534364,,Active,LCSC,PG-TDSON-8_L5.9-W5.1-P1.27-LS6.2-BL,https://www.lcsc.com/product-detail/C534364.html,Package: TDSON-8(5x6); Output Capacitance(Coss): 340pF; Pd - Power Dissipation: 83W; Configuration: -; Operating Temperature: -55℃~+150℃; Drain to Source Voltage: 100V; Current - Continuous Drain(Id): 80A; Gate Threshold Voltage (Vgs(th)): 3.8V; Reverse Transfer Capacitance (Crss@Vds): 28pF; RDS(on): 7mΩ@10V; Number: 1 N-channel; Input Capacitance(Ciss): 2.7nF; Gate Charge(Qg): 38nC@10V; Vgs: ±20V; Type: N-Channel,"Designators: Q1, Q2, Q3, Q4, Q5, Q6",METADATA_READY,X200T_ECU_B1_V1.0_20240809
C726882,SMBJ58CA,TWGMC,93.6VC Clamp 6.5A Ipp TVS DIODE DO-214AA(SMB),Transistors/Thyristors/TVS Diodes,SMBJ58CA,ExternalDriver_SMB_L4_6-W3_6-LS5_3-BI,,DO-214AA(SMB),https://datasheet.lcsc.com/datasheet/pdf/a5de6b41e5c0fc8fd537b2d1bace2e83.pdf?productCode=C726882,,Active,LCSC,SMB_L4.6-W3.6-LS5.3-BI,https://www.lcsc.com/product-detail/C726882.html,Package: DO-214AA(SMB); Clamping Voltage: 93.6V; Operating Temperature: -65℃~+150℃; Peak Pulse Current (Ipp): 6.5A; Peak Pulse Power Dissipation (Ppp): 600W@10/1000us; Number of Channels: 1; Voltage - Breakdown: 71.2V; type: TVS; Reverse Leakage Current (Ir): 1uA; Polarity: Bidirectional; Reverse Stand-Off Voltage (Vrwm): 58V,Designators: D1,METADATA_READY,X200T_ECU_B1_V1.0_20240809
