LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C3003063,AZ1117CH2-5.0TRG1,DIODES,Linear Voltage Regulator IC Positive Fixed 1 Output 1.35A SOT-223,"Power Management (PMIC)/Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",AZ1117CH2-5_0TRG1,ExternalDriver_SOT-223_L6_5-W3_5-P2_30-LS7_0-BR,,SOT-223,https://datasheet.lcsc.com/datasheet/pdf/73ec83269ecc00393489beefcda77d62.pdf?productCode=C3003063,,Active,LCSC,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,https://www.lcsc.com/product-detail/C3003063.html,Package: SOT-223; Output Voltage: 5V; Number of Outputs: 1; Operating Temperature: -20℃~+125℃@(Tj); Supply Current (Iq): 6mA; Output Configuration: Positive; Operating Voltage: 15V; Output Current: 1.35A; Features: Over Current Protection;Thermal shutdown; Output Type: Fixed,Designators: U3,METADATA_READY,X200T_ECU_B1_V1.0_20240809
C3743587,TLV74033PDBVR,TI,Linear Voltage Regulator IC Positive Fixed 1 Output 300mA SOT-23-5,"Power Management (PMIC)/Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",TLV74033PDBVR,ExternalDriver_SOT-23-5_L2_9-W1_6-P0_95-LS2_8-BR,,SOT-23-5,https://datasheet.lcsc.com/datasheet/pdf/74cc79715a6266a346ca70f60eeb6334.pdf?productCode=C3743587,,Active,LCSC,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,https://www.lcsc.com/product-detail/C3743587.html,Package: SOT-23-5; Output Voltage: 3.3V; Number of Outputs: 1; Operating Temperature: -40℃~+85℃@(Tj); Supply Current (Iq): 50uA; Output Configuration: Positive; Operating Voltage: 5.5V; Output Current: 300mA; Features: Enable control;Over Current Protection;Output discharge;Input under-voltage protection;Thermal shutdown;Short Circuit Protection; Output Type: Fixed,Designators: U2,METADATA_READY,X200T_ECU_B1_V1.0_20240809
C408972,TLV74333PDBVR,TI,"3.3V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS","Power Management (PMIC)/Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",TLV74333PDBVR,ExternalDriver_LDO,9990000051470,SOT-23-5,https://datasheet.lcsc.com/datasheet/pdf/50b52a610636e868c962d6e98c6380b1.pdf?productCode=C408972,,Active,LCSC,LDO,https://www.lcsc.com/product-detail/C408972.html,Package: SOT-23-5; Output Voltage: 3.3V; Number of Outputs: 1; Operating Temperature: -40℃~+125℃@(Tj); Supply Current (Iq): 34uA; Output Configuration: Positive; Operating Voltage: 5.5V; Output Current: 300mA; Features: Enable control;Input under-voltage protection;Output discharge;Over Current Protection;Short Circuit Protection;Thermal shutdown; Output Type: Fixed,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: U3,METADATA_READY,legacy_import
C44209887,AP7375-33FDCW-7,DIODES,"3.3V Positive Fixed U-DFN2020-6 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators","Power Management (PMIC)/Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",AP7375-33FDCW-7,ExternalDriver_LDO,9990000056331,U-DFN2020-6,https://datasheet.lcsc.com/datasheet/pdf/50aee3d4c5b227be75fbc9098ae4266b.pdf?productCode=C44209887,,Active,LCSC,LDO,https://www.lcsc.com/product-detail/C44209887.html,Package: U-DFN2020-6; Output Voltage: 3.3V; Number of Outputs: 1; Operating Temperature: -40℃~+125℃; Supply Current (Iq): 2.1uA; Output Configuration: Positive; Output Current: 300mA; Operating Voltage: 45V; Features: Enable control;Short Circuit Protection;Thermal shutdown; Output Type: Fixed,Sources: BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y185.xls: U4,METADATA_READY,legacy_import
C5381667,AP7347DQ-33FDZW-7,DIODES,3.3V 500mA 5.5V Low Dropout Linear Regulator,"Power Management (PMIC)/Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,,3.3V 500mA,WDFN2020-6-EP,https://atta.szlcsc.com/upload/public/pdf/source/20230314/3856240D523D935DC7C1B61A87430C15.pdf,,Active,LCSC,W-DFN2020-6/500mA/1.7~5.5V,https://item.szlcsc.com/6251273.html,Package: WDFN2020-6-EP; Output Current: 500mA; Output Voltage: 3.3V; Input Voltage: 5.5V,Designators: Y43-U4; Z300BL-U4,METADATA_READY,Y43; Z300BL
