LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C19077266,IC-TW39,iC-Haus,iC-Haus IC-TW39 encoder interface,"Magnetic Sensors/Angle, Linear Position Measuring",,,,IC-TW39,,,Unknown,LCSC,Unknown,https://www.szlcsc.com/,,Legacy LCSC code not found in domestic LCSC or JLCEDA; confirm current replacement and package; Designators: Y43-U2; Z300BL-U2,CLASSIFIED_PARTIAL,Y43; Z300BL
C49257133,MT6701QT-ACD,NOVOSENSE,"QFN-16(3x3) Angle, Linear Position Measuring","Magnetic Sensors/Angle, Linear Position Measuring",MT6701QT-ACD,ExternalDriver_QFN-16_3_5V,暂无料号25,QFN-16(3x3),https://datasheet.lcsc.com/datasheet/pdf/935357a86952b28e12ac9bd3d186d5d1.pdf?productCode=C49257133,,Active,LCSC,QFN-16/3~5V,https://www.lcsc.com/product-detail/C49257133.html,Package: QFN-16(3x3); Operating Temperature: -40℃~+125℃; Number of Conjugate Points of UVW: 16; Supply Current: 10mA; Features: Incremental encoder output;Programmable hysteresis;Magnetic field too high/low warning; Voltage - Supply: 3.3V~5V; Out Type: SSI;ABZ;PWM; Number of ABZ Pulses: 1024; Rotate Speed: 55000rpm; Minimum Field: 20mT,Sources: BOM_PASTER_8984112A_Y189.xls; Designators: BOM_PASTER_8984112A_Y189.xls: U1,METADATA_READY,legacy_import
C7433196,,,Imported from legacy JLC paste BOM,"Magnetic Sensors/Angle, Linear Position Measuring",C7433196,ExternalDriver_,9990000053832,磁性角度传感器,,,Unknown,LCSC,磁性角度传感器,https://www.lcsc.com/product-detail/C7433196.html,,Sources: BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y185.xls: U5; Inferred from magnetic angle sensor description; confirm exact device later,CLASSIFIED_PARTIAL,legacy_import
C9900009343,iC-PVL,IC-HAUS,iC-PVL QFN16 4x4 Linear Hall Sensor,"Magnetic Sensors/Angle, Linear Position Measuring",,,iC-PVL,QFN16(4x4),https://atta.szlcsc.com/upload/public/pdf/source/20260917/41A48149B31B33F1461152DD9086207D.pdf,,Active,LCSC,QFN16(4x4),https://item.szlcsc.com/217651.html,Package: QFN16-4x4; Function: linear Hall sensor; Current replacement reference: C46526385,Designators: Y193-U2; Y43-U3; Z300BL-U3,METADATA_READY,Y193; Y43; Z300BL
C9900093456,IC-TW39,iC-Haus,iC-Haus IC-TW39 encoder interface,"Magnetic Sensors/Angle, Linear Position Measuring",,,,IC-TW39,,,Unknown,LCSC,Unknown,https://www.szlcsc.com/,,Legacy LCSC code not found in domestic LCSC or JLCEDA; confirm current replacement and package; Designators: Y193-U3,CLASSIFIED_PARTIAL,Y193
