LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C5381667,AP7347DQ-33FDZW-7,DIODES,3.3V 500mA 5.5V Low Dropout Linear Regulator,"Power Management (PMIC)/Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,,3.3V 500mA,WDFN2020-6-EP,https://atta.szlcsc.com/upload/public/pdf/source/20230314/3856240D523D935DC7C1B61A87430C15.pdf,,Active,LCSC,W-DFN2020-6/500mA/1.7~5.5V,https://item.szlcsc.com/6251273.html,Package: WDFN2020-6-EP; Output Current: 500mA; Output Voltage: 3.3V; Input Voltage: 5.5V,Designators: Y43-U4; Z300BL-U4,METADATA_READY,
C25744,0402WGF1002TCE,UNI-ROYAL,10kΩ ±1% 62.5mW Thick Film Resistor,Resistors/Chip Resistor - Surface Mount,,,10kΩ,0402,https://atta.szlcsc.com/upload/public/pdf/source/20200306/C422600_1E6D84923E4A46A82E41ADD87F860B5C.pdf,,Active,LCSC,0402-10K-1%,https://item.szlcsc.com/26487.html,Package: 0402; Resistance: 10kΩ; Tolerance: ±1%; Power: 62.5mW,"Designators: Y43-R3,R4,R5,R6,R7",METADATA_READY,
C307331,CL05B104KB54PNC,SAMSUNG,100nF ±10% 50V Ceramic Capacitor X7R,Capacitors/Ceramic Capacitors,,,100nF,0402,https://atta.szlcsc.com/upload/public/pdf/source/20160218/1457707763339.pdf,,Active,LCSC,0402-100nF-50V-10%,https://item.szlcsc.com/291005.html,Package: 0402; Capacitance: 100nF; Tolerance: ±10%; Voltage Rating: 50V; Temperature Coefficient: X7R,"Designators: Y43-C1,C3,C6,C9,C10,C12,C14,C15,C18",METADATA_READY,
C52923,CL05A105KA5NQNC,SAMSUNG,1uF ±10% 25V Ceramic Capacitor X5R,Capacitors/Ceramic Capacitors,,,1uF,0402,https://atta.szlcsc.com/upload/public/pdf/source/20160218/1457707763339.pdf,,Active,LCSC,0402-1uF-10V-10%,https://item.szlcsc.com/53938.html,Package: 0402; Capacitance: 1uF; Tolerance: ±10%; Voltage Rating: 25V; Temperature Coefficient: X5R,"Designators: Y43-C2,C4,C5,C7,C16",METADATA_READY,
C730422,CL03Y104KO3NNNC,SAMSUNG,100nF ±10% 16V Ceramic Capacitor X7R,Capacitors/Ceramic Capacitors,,,100nF,0201,https://atta.szlcsc.com/upload/public/pdf/source/20160218/1457707763339.pdf,,Active,LCSC,0201-100nF-16V-10%,https://item.szlcsc.com/778821.html,Package: 0201; Capacitance: 100nF; Tolerance: ±10%; Voltage Rating: 16V; Temperature Coefficient: X7R,Designators: Y43-C17; Z300BL-C17,METADATA_READY,
C19077266,IC-TW39,iC-Haus,iC-Haus IC-TW39 encoder interface,"Magnetic Sensors/Angle, Linear Position Measuring",,,,IC-TW39,,,Unknown,LCSC,Unknown,https://www.szlcsc.com/,,"Legacy LCSC code not found in domestic LCSC or JLCEDA; confirm current replacement and package; Designators: Y43-U2; Z300BL-U2",CLASSIFIED_PARTIAL,
C9900009343,iC-PVL,IC-HAUS,iC-PVL QFN16 4x4 Linear Hall Sensor,"Magnetic Sensors/Angle, Linear Position Measuring",,,iC-PVL,QFN16(4x4),https://atta.szlcsc.com/upload/public/pdf/source/20260917/41A48149B31B33F1461152DD9086207D.pdf,,Active,LCSC,QFN16(4x4),https://item.szlcsc.com/217651.html,,,METADATA_READY,
