LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C1342773,STM32G473CEU6,ST,ARM Cortex-M4 32 Bit 170MHz UFQFPN-48(7x7) Microcontrollers RoHS,Embedded Processors & Controllers/Microcontrollers,STM32G473CEU6,ExternalDriver_UFQFPN-48_L7_0-W7_0-P0_50-BL-EP5_6,,UFQFPN-48(7x7),https://datasheet.lcsc.com/datasheet/pdf/1b9d950ec99bcb3d8467c4cf47b6d36d.pdf?productCode=C1342773,,Active,LCSC,UFQFPN-48_L7.0-W7.0-P0.50-BL-EP5.6,https://www.lcsc.com/product-detail/C1342773.html,Package: UFQFPN-48(7x7); DAC (Bit): 12bit; ADC (Bit): 12bit; Number of I/O: 42; Operating Temperature: -40℃~+85℃; Voltage - Supply: 1.71V~3.6V; Program Memory Type: FLASH; EEPROM: -; Program Storage Size: 512KB; CPU Core: ARM Cortex-M4; Core Size: 32 Bit; CPU Maximum Speed: 170MHz; Oscillator Type: Built-in,Designators: U4,METADATA_READY,X200T_ECU_B1_V1.0_20240809
C54318468,,,Imported from legacy JLC paste BOM,Embedded Processors & Controllers/Microcontrollers,C54318468,ExternalDriver_MCU,9990000056678,MCU,,,Unknown,LCSC,MCU,https://www.lcsc.com/product-detail/C54318468.html,,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y182.xls: U6; BOM_PASTER_8984112A_Y185.xls: U2; Inferred from MCU designator and BOM description; confirm exact device later",CLASSIFIED_PARTIAL,legacy_import
