LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C5381667,AP7347DQ-33FDZW-7,DIODES,3.3V 500mA 5.5V Low Dropout Linear Regulator,"Power Management (PMIC)/Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,,3.3V 500mA,WDFN2020-6-EP,https://atta.szlcsc.com/upload/public/pdf/source/20230314/3856240D523D935DC7C1B61A87430C15.pdf,,Active,LCSC,W-DFN2020-6/500mA/1.7~5.5V,https://item.szlcsc.com/6251273.html,,,METADATA_READY,
C730422,CL03Y104KO3NNNC,SAMSUNG,100nF ±10% 16V Ceramic Capacitor X7R,Capacitors/Ceramic Capacitors,,,100nF,0201,https://atta.szlcsc.com/upload/public/pdf/source/20160218/1457707763339.pdf,,Active,LCSC,0201-100nF-16V-10%,https://item.szlcsc.com/778821.html,,,METADATA_READY,
C19077266,IC-TW39,iC-Haus,iC-Haus IC-TW39 encoder interface,"Magnetic Sensors/Angle, Linear Position Measuring",,,,IC-TW39,,,Unknown,LCSC,Unknown,https://www.szlcsc.com/,,,CLASSIFIED_PARTIAL,
C9900009343,iC-PVL,IC-HAUS,iC-PVL QFN16 4x4 Linear Hall Sensor,"Magnetic Sensors/Angle, Linear Position Measuring",,,iC-PVL,QFN16(4x4),https://atta.szlcsc.com/upload/public/pdf/source/20260917/41A48149B31B33F1461152DD9086207D.pdf,,Active,LCSC,QFN16(4x4),https://item.szlcsc.com/217651.html,,,METADATA_READY,
