LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C160407,SM08B-SRSS-TB(LF)(SN),JST,"Connector Header 8 position 1mm Pitch 1A Surface Mount, Right Angle -25℃~+85℃","Connectors/Headers, Male Pins",SM08B-SRSS-TB_LF_SN,ExternalDriver_,9990000051498,"SMD,P=1mm,Surface Mount,Right Angle",https://datasheet.lcsc.com/datasheet/pdf/e03a82bcc66e3c3589917313e54d45e2.pdf?productCode=C160407,,Active,LCSC,接插件,https://www.lcsc.com/product-detail/C160407.html,"Package: SMD,P=1mm,Surface Mount,Right Angle; Connector Type: Surface Mount, Right Angle; Reference Series: SH; Voltage Rating (Max): 50V; Contact Material: Copper alloy; Number of PINs Per Row: 8; Number of Rows: 1; Pitch: 1mm; Flame Retardant Rating: UL94V-0; Current Rating: 1A; Supplementary Features: Auxiliary Solder Pin; Number of PINs: 8P; Operating Temperature: -25℃~+85℃; Contact Plating: Tin; Plastic Material: PA; Color: White; X-Length of Bottom Edge on Board (Spacing Line): 10mm; Row Spacing: -; Pin Structure: 1x8P",Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: J10,METADATA_READY,legacy_import
C161690,BM02B-GHS-TBT(LF)(SN),JST,"Connector Header 2 position 1.25mm Pitch 1A Surface Mount,Vertical -25℃~+85℃","Connectors/Headers, Male Pins",BM02B-GHS-TBT_LF_SN,ExternalDriver_,58,"SMD,P=1.25mm",https://datasheet.lcsc.com/datasheet/pdf/6c69dfd9744c15167b2bdb9469440f45.pdf?productCode=C161690,,OutOfStock,LCSC,接插件,https://www.lcsc.com/product-detail/C161690.html,"Package: SMD,P=1.25mm; Connector Type: Surface Mount,Vertical; Reference Series: GH; Voltage Rating (Max): 50V; Contact Material: Phosphor bronze; Number of PINs Per Row: 2; Number of Rows: 1; Pitch: 1.25mm; Current Rating: 1A; Flame Retardant Rating: UL94V-0; Supplementary Features: Auxiliary Solder Pin; Operating Temperature: -25℃~+85℃; Contact Plating: Tin; Number of PINs: 2P; Plastic Material: PA9T; Color: White; X-Length of Bottom Edge on Board (Spacing Line): 5.75mm; Row Spacing: -; Pin Structure: 1x2P","Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: J4,J5,J6,J7",METADATA_READY,legacy_import
C189891,BM05B-GHS-TBT(LF)(SN)(N),JST,"Connector Header 5 position 1.25mm Pitch 1A Surface Mount,Vertical -25℃~+85℃","Connectors/Headers, Male Pins",BM05B-GHS-TBT_LF_SN_N,ExternalDriver_CONN-SMD_BM05B-GHS-TBT,,"SMD,P=1.25mm",https://datasheet.lcsc.com/datasheet/pdf/145d85af57fc54ac5a4f36dce2b36dd3.pdf?productCode=C189891,,Active,LCSC,CONN-SMD_BM05B-GHS-TBT,https://www.lcsc.com/product-detail/C189891.html,"Package: SMD,P=1.25mm; Connector Type: Surface Mount,Vertical; Reference Series: GH; Voltage Rating (Max): 50V; Contact Material: Phosphor bronze; Number of PINs Per Row: 5; Number of Rows: 1; Pitch: 1.25mm; Flame Retardant Rating: UL94V-0; Current Rating: 1A; Supplementary Features: Auxiliary Solder Pin; Number of PINs: 5P; Contact Plating: Tin; Operating Temperature: -25℃~+85℃; Plastic Material: PA9T; Color: White; X-Length of Bottom Edge on Board (Spacing Line): 9.5mm; Row Spacing: -; Pin Structure: 1x5P",Designators: CN5,METADATA_READY,X200T_ECU_B1_V1.0_20240809
C2937625,PZ254V-11-03P,XFCN,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,"Connectors/Headers, Male Pins",PZ254V-11-03P,ExternalDriver_,10,"Through Hole,P=2.54mm",https://datasheet.lcsc.com/datasheet/pdf/3b85a1cdf6ed945f2e278f00c1e42442.pdf?productCode=C2937625,,Active,LCSC,烧录口,https://www.lcsc.com/product-detail/C2937625.html,"Package: Through Hole,P=2.54mm; Connector Type: Through Hole; Voltage Rating (Max): 250V; Contact Material: Brass; Number of Rows: 1; Pitch: 2.54mm; Circluar Pins/Square Pins: Square pin; Current Rating: 3A; Supplementary Features: -; Insulation Height: 2.5mm; Length of Mating Pin: 6.1mm; Contact Plating: Gold; Number of PINs: 3P; Operating Temperature: -40℃~+105℃; Length of End Connection Pin: 3mm; Color: Black; Row Spacing: -; Pin Structure: 1x3P",Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: J3,METADATA_READY,legacy_import
C492420,PZ254V-12-6P,XFCN,Pin Header 6 Position 2.54mm Pitch Dual Row Through Hole -40℃~+105℃,"Connectors/Headers, Male Pins",PZ254V-12-6P,ExternalDriver_6PIN,12,"Through Hole,P=2.54mm",https://datasheet.lcsc.com/datasheet/pdf/50ec9710cee52ae98bff43fbb8887c5b.pdf?productCode=C492420,,Active,LCSC,6PIN烧录孔,https://www.lcsc.com/product-detail/C492420.html,"Package: Through Hole,P=2.54mm; Connector Type: Through Hole; Voltage Rating (Max): -; Contact Material: Brass; Number of Rows: 2; Pitch: 2.54mm; Circluar Pins/Square Pins: Square pin; Current Rating: 3A; Insulation Height: 2.5mm; Length of Mating Pin: 6mm; Number of PINs: 6P; Operating Temperature: -40℃~+105℃; Length of End Connection Pin: 3mm; Contact Plating: Gold; Color: Black; Pin Structure: 2x3P; Row Spacing: 2.54mm",Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: J8,METADATA_READY,legacy_import
C5138889,GPCA101-0502A001C1AA,GREENCONN,Pin Header 5 Position 1mm Pitch Single Row Through Hole -40℃~+105℃,"Connectors/Headers, Male Pins",GPCA101-0502A001C1AA,ExternalDriver_,GPCA101-0502A,"Through Hole,P=1mm",https://datasheet.lcsc.com/datasheet/pdf/9791ba8c859df0647813150b8f9162a2.pdf?productCode=C5138889,,Active,LCSC,插件,https://www.lcsc.com/product-detail/C5138889.html,"Package: Through Hole,P=1mm; Connector Type: Through Hole; Pitch: 1mm; Circluar Pins/Square Pins: Square pin; Current Rating: 1A; Insulation Height: 1mm; Length of Mating Pin: 3.55mm; Contact Plating: Gold; Length of End Connection Pin: 1.8mm; Contact Material: Phosphor bronze; Number of PINs: 5P; Operating Temperature: -40℃~+105℃; Pin Structure: 1x5P; Number of Rows: 1",Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: J11,METADATA_READY,legacy_import
C54334395,GT-A0801WRS-108BBT01,G-Switch,"Surface Mount, Right Angle 100V 8 1 0.8mm 800mA 8P -40℃~+85℃ Tin Black 1x8P SMD,P=0.8mm,Surface Mount,Right Angle Headers, Male Pins","Connectors/Headers, Male Pins",GT-A0801WRS-108BBT01,ExternalDriver_,9990000051497,"SMD,P=0.8mm,Surface Mount,Right Angle",https://datasheet.lcsc.com/datasheet/pdf/280a0ac82606d05a19e9b62f8ac57389.pdf?productCode=C54334395,,Active,LCSC,接插件,https://www.lcsc.com/product-detail/C54334395.html,"Package: SMD,P=0.8mm,Surface Mount,Right Angle; Connector Type: Surface Mount, Right Angle; Voltage Rating (Max): 100V; Contact Material: Brass; Number of PINs Per Row: 8; Number of Rows: 1; Pitch: 0.8mm; Current Rating: 800mA; Flame Retardant Rating: UL94V-0; Number of PINs: 8P; Operating Temperature: -40℃~+85℃; Contact Plating: Tin; Plastic Material: LCP; Color: Black; Pin Structure: 1x8P",Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: J9,METADATA_READY,legacy_import
