LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C167883,FNR4030S220MT,cjiang,"1.2A 22uH ±20% 1.4A 292mΩ Magnetic Shielded Inductor SMD,4x4mm Fixed Inductors RoHS","Inductors, Coils, Chokes/Fixed Inductors",L_22uH_SMD_4x4mm,ExternalDriver_IND-SMD_L4_0-W4_0_FNR40XXS,22uH,"SMD,4x4mm",https://datasheet.lcsc.com/datasheet/pdf/a0b12ba9dfe6b9e66b6bb852b7c71c03.pdf?productCode=C167883,,Active,LCSC,IND-SMD_L4.0-W4.0_FNR40XXS,https://www.lcsc.com/product-detail/C167883.html,"Package: SMD,4x4mm; Current Rating: 1.2A; Inductance: 22uH; Tolerance: ±20%; Current - Saturation(Isat): 1.4A; DC Resistance(DCR): 292mΩ; Type: Magnetic Shielded Inductor",Designators: L2,METADATA_READY,X200T_ECU_B1_V1.0_20240809
C524586,FXL0530-R10-M,cjiang,"25A 100nH ±20% 3mΩ 33A Molded inductor SMD,5.4x5.2mm Fixed Inductors RoHS","Inductors, Coils, Chokes/Fixed Inductors",L_100nH_SMD_5_4x5_2mm,ExternalDriver_IND-SMD_L5_4-W5_2,100nH,"SMD,5.4x5.2mm",https://datasheet.lcsc.com/datasheet/pdf/7ccab6d15d9e909aa3f3d55ed931dfcf.pdf?productCode=C524586,,Active,LCSC,IND-SMD_L5.4-W5.2,https://www.lcsc.com/product-detail/C524586.html,"Package: SMD,5.4x5.2mm; Current Rating: 25A; Inductance: 100nH; Tolerance: ±20%; DC Resistance(DCR): 3mΩ; Current - Saturation(Isat): 33A; Type: Molded inductor",Designators: L1,METADATA_READY,X200T_ECU_B1_V1.0_20240809
