LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C124020,"TJA1051TK/3,118",NXP,"4.5V~5.5V CAN FD Transceiver 5Mbps HVSON-8-EP(3x3) Drivers, Receivers, Transceivers RoHS","Interface/Drivers, Receivers, Transceivers",TJA1051TK_3_118,ExternalDriver_HVSON-8_L3_0-W3_0-P0_65-BL-EP,,HVSON-8-EP(3x3),https://www.nxp.com/docs/en/data-sheet/TJA1051.pdf,,Active,LCSC,HVSON-8_L3.0-W3.0-P0.65-BL-EP,https://www.lcsc.com/product-detail/C124020.html,Package: HVSON-8-EP(3x3); Voltage - Supply: 4.5V~5.5V; Type: CAN FD Transceiver; number of channels: 1; Data Rate: 5Mbps; Features: Silent mode;TXD dominant timeout;Undervoltage Protection;Thermal shutdown protection;ESD protection;Integrated level shifting; Supply Current: 70mA; Quiescent Supply Current: 2.5mA,Designators: U5,METADATA_READY,X200T_ECU_B1_V1.0_20240809
C20198121,TPT481L1-DF6R,3PEAK,"DFN-8L(3x3) Drivers, Receivers, Transceivers RoHS","Interface/Drivers, Receivers, Transceivers",TPT481L1-DF6R,ExternalDriver_RS485,暂无料号10,DFN-8L(3x3),,,Active,LCSC,RS485收发器,https://www.lcsc.com/product-detail/C20198121.html,Package: DFN-8L(3x3),"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y182.xls: U5; BOM_PASTER_8984112A_Y185.xls: U1",METADATA_READY,legacy_import
C30111221,TCAN3413DDFR,TI,"CAN FD Transceiver 3V~3.6V 8Mbps TSOT-23-8 Drivers, Receivers, Transceivers RoHS","Interface/Drivers, Receivers, Transceivers",TCAN3413DDFR,ExternalDriver_CAN,9990000051466,TSOT-23-8,https://www.ti.com.cn/cn/lit/ds/symlink/tcan3413.pdf?ts=1729475226790,,OutOfStock,LCSC,CAN收发器,https://www.lcsc.com/product-detail/C30111221.html,Package: TSOT-23-8; Type: CAN FD Transceiver; Voltage - Supply: 3V~3.6V; number of channels: 1; Data Rate: 8Mbps; Operating Temperature: -40℃~+125℃; Features: Low-power mode;Wake-up function;Bus fault protection;ESD protection;Undervoltage Protection;TXD dominant timeout;Thermal shutdown protection;Hot-swap protection;Integrated level shifting; Supply Current: 55mA; Quiescent Supply Current: 4uA,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: U4,METADATA_READY,legacy_import
C57928,SN65HVD75DR,TI,"1/1 Transceiver Half RS422, RS485 SOIC-8","Interface/Drivers, Receivers, Transceivers",SN65HVD75DR,ExternalDriver_SN65HVD75DR,,SOIC-8,https://datasheet.lcsc.com/datasheet/pdf/819838ee06654d4b8c9e76b0a4745f2b.pdf?productCode=C57928,,Active,LCSC,SN65HVD75DR,https://www.lcsc.com/product-detail/C57928.html,Package: SOIC-8; Voltage - Supply: 3V~3.6V; Type: Transceiver; Data Rate: 20Mbps; Number of Nodes: 213; Operating Temperature: -40℃~+125℃; ESD Protect: ±15kV; Communication Mode: Half-Duplex; Number of Drivers: 1; Features: Tx/Rx enable;Enable shutdown;Fail-safe;Low-power mode;Thermal shutdown protection; Number of Receivers: 1; Quiescent Supply Current: 950uA,Designators: U6,METADATA_READY,X200T_ECU_B1_V1.0_20240809
